PairTag,AssayType,RecDate,VideoFile,VideoPath,ScoreFile,ScorePath,FemaleID,FemaleGT,FemaleFam,FemaleDOB,MaleID,MaleGT,MaleFam,MaleDOB,PairDate,CohortTag,AssayStart,FocalID,FocalSex,FocalGT,AssayDuration,AssayRoom,Timeline,Ethogram,RanBy,ScoredBy,FullTimeline,FocalColor,StrangerID,StrangerGT,PPTlane,PartnerChamber
Nov22_Pair24,introduction,20230125,Nov22_Pair24_Intro_2023-01-25 13-23-32.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\01252023,Nov22_Pair24_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8041,Het,,,20230125,Scn2aX1,,B8041,M,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair25,introduction,20230125,Nov22_Pair25_Intro_2023-01-25 13-23-35.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\01252023,Nov22_Pair25_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8042,Het,,,20230125,Scn2aX1,,B8042,M,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair26,introduction,20230125,Nov22_Pair26_Intro_2023-01-25 13-23-52.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\01252023,Nov22_Pair26_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8043,Het,,,20230125,Scn2aX1,,B8043,M,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair27,introduction,20230125,Nov22_Pair27_Intro_WIN_20230125_13_23_38_Pro.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\01252023,Nov22_Pair27_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8044,Het,,,20230125,Scn2aX1,,B8044,M,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair28,introduction,20230207,Nov22_Pair28_Intro_2023-02-07 13-18-12.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\02072023,Nov22_Pair28_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8071,Het,,,,,,,20230207,Scn2aX1,,B8071,F,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair29,introduction,20230207,Nov22_Pair29_Intro_2023-02-07 13-18-14.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\02072023,Nov22_Pair29_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8072,Het,,,,,,,20230207,Scn2aX1,,B8072,F,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair3,introduction,20221114,Nov22_Pair3Intro.mov,\Scn2a_X1Behavior_Nov22\Female Intros\11142022,Nov22_Pair3_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8004,Het,,,,,,,20221114,Scn2aX1,,B8004,F,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair30,introduction,20230207,Nov22_Pair30_Intro_2023-02-07 13-18-15.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\02072023,Nov22_Pair30_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8075,Het,,,,,,,20230207,Scn2aX1,,B8075,F,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair31,introduction,20230207,Nov22_Pair31_Intro_WIN_20230207_13_18_15_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\02072023,Nov22_Pair31_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8077,WT,,,,,,,20230207,Scn2aX1,,B8077,F,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair32,introduction,20230208,Nov22_Pair32_Intro_2023-02-08 13-31-20.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\02082023,Nov22_Pair32_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8073,Het,,,20230208,Scn2aX1,,B8073,M,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair33,introduction,20230208,Nov22_Pair33_Intro_2023-02-08 13-31-22.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\02082023,Nov22_Pair33_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8074,Het,,,20230208,Scn2aX1,,B8074,M,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair34,introduction,20230208,Nov22_Pair34_Intro_2023-02-08 13-31-23.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\02082023,Nov22_Pair34_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8076,Het,,,20230208,Scn2aX1,,B8076,M,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair35,introduction,20230228,Nov22_Pair35_Intro_2023-02-28 14-02-19.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\02282023,Nov22_Pair35_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8105,WT,,,,,,,20230228,Scn2aX1,,B8105,F,WT,1800,,FALSE,,Gina Williams,Josh Steighner,TRUE,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair36,introduction,20230228,Nov22_Pair36_Intro_2023-02-28 14-02-28.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\02282023,Nov22_Pair36_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8106,Het,,,,,,,20230228,Scn2aX1,,B8106,F,Het,1800,,FALSE,,Gina Williams,Josh Steighner,TRUE,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair37,introduction,20230301,Nov22_Pair37_Intro_2023-03-01 13-29-49.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\03012023,Nov22_Pair37_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8103,Het,,,20230301,Scn2aX1,,B8103,M,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair38,introduction,20230301,Nov22_Pair38_Intro_2023-03-01 13-29-51.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\03012023,Nov22_Pair38_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8104,WT,,,20230301,Scn2aX1,,B8104,M,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair39,introduction,20230315,Nov22_Pair39_Intro_2023-03-15 13-54-04.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\03152023,Nov22_Pair39_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8116,WT,,,20230315,Scn2aX1,,B8116,M,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair4,introduction,20221114,Nov22_Pair4Intro.mov,\Scn2a_X1Behavior_Nov22\Female Intros\11142022,Nov22_Pair4_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8005,WT,,,,,,,20221114,Scn2aX1,,B8005,F,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair40,introduction,20230315,Nov22_Pair40_Intro_2023-03-15 13-54-07.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\03152023,Nov22_Pair40_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8117,WT,,,20230315,Scn2aX1,,B8117,M,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair41,introduction,20230315,Nov22_Pair41_Intro_2023-03-15 13-54-09.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\03152023,Nov22_Pair41_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8118,WT,,,20230315,Scn2aX1,,B8118,M,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair42,introduction,20230322,Nov22_Pair42_Intro_2023-03-22 12-37-10.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\03222023,Nov22_Pair42_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8129,Het,,,20230322,Scn2aX1,,B8129,M,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair43,introduction,20230322,Nov22_Pair43_Intro_2023-03-22 12-37-08.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\03222023,Nov22_Pair43_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8130,WT,,,20230322,Scn2aX1,,B8130,M,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair44,introduction,20230405,Nov22_Pair44_Intro_2023-04-05 14-10-23.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\04052023,Nov22_Pair44_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8144,Het,,,20230405,Scn2aX1,,B8144,M,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair46,introduction,20230405,Nov22_Pair46_Intro_2023-04-05 14-10-29.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\04052023,Nov22_Pair46_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8150,Het,,,20230405,Scn2aX1,,B8150,M,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair47,introduction,20230412,Nov22_Pair47_Intro_2023-04-12 13-45-11.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\04122023,Nov22_Pair47_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8159,WT,,,20230412,Scn2aX1,,B8159,M,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair48,introduction,20230412,Nov22_pair48_Intro_2023-04-12 13-45-13.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\04122023,Nov22_Pair48_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8162,Het,,,20230412,Scn2aX1,,B8162,M,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair49,introduction,20230412,Nov22_Pair49_Intro_2023-04-12 13-45-16.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\04122023,Nov22_Pair49_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8163,WT,,,20230412,Scn2aX1,,B8163,M,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair5,introduction,20221129,Nov22_Pair5_Intro_WIN_20221129_13_09_22_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\11292022,Nov22_Pair5_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8033,Het,,,,,,,20221129,Scn2aX1,,B8033,F,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair50,introduction,20230412,Nov22_Pair50_Intro_WIN_20230412_13_45_26_Pro.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\04122023,Nov22_Pair50_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8164,Het,,,20230412,Scn2aX1,,B8164,M,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair51,introduction,20230419,Nov22_Pair51_Intro_2023-04-19 12-55-25.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\04192023,Nov22_Pair51_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8168,WT,,,20230419,Scn2aX1,,B8168,M,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair52,introduction,20230419,Nov22_Pair52_Intro_2023-04-19 12-55-27.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\04192023,Nov22_Pair52_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8170,Het,,,20230419,Scn2aX1,,B8170,M,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair56,introduction,20230808,Nov22_Pair56_Intro_2023-08-08 13-13-52.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\08082023,Nov22_Pair56_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8232,WT,,,,,,,20230808,Scn2aX1,,B8232,F,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair57,introduction,20230809,Nov22_Pair57_Intro_2023-08-09 13-07-27.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\08092023,Nov22_Pair57_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8240,WT,,,20230809,Scn2aX1,,B8240,M,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair58,introduction,20230809,Nov22_Pair58_Intro_2023-08-09 13-07-28.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\08092023,Nov22_Pair58_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8241,WT,,,20230809,Scn2aX1,,B8241,M,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair59,introduction,20230905,Nov22_Pair59_Intro_2023-09-05 13-52-22.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\09052023,Nov22_Pair59_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8258,WT,,,,,,,20230905,Scn2aX1,,B8258,F,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair6,introduction,20221129,Nov22_Pair6_intro_WIN_20221129_13_09_21_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\11292022,Nov22_Pair6_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8034,Het,,,,,,,20221129,Scn2aX1,,B8034,F,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair60,introduction,20230905,Nov22_Pair60_Intro_2023-09-05 13-52-23.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\09052023,Nov22_Pair60_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8260,WT,,,,,,,20230905,Scn2aX1,,B8260,F,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair61,introduction,20231107,Nov22_Pair61_Intro_2023-11-07 13-05-43.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\11072023,Nov22_Pair61_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8267,WT,,,,,,,20231107,Scn2aX1,,B8267,F,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair62,introduction,20231107,Nov22_Pair62_Intro_2023-11-07 13-05-44.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\11072023,Nov22_Pair62_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8268,WT,,,,,,,20231107,Scn2aX1,,B8268,F,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair63,introduction,20231107,Nov22_Pair63_Intro_2023-11-07 13-05-47.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\11072023,Nov22_Pair63_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8269,WT,,,,,,,20231107,Scn2aX1,,B8269,F,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair64,introduction,20231107,Nov22_Pair64_Intro.mov,\Scn2a_X1Behavior_Nov22\Female Intros\11072023,Nov22_Pair64_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8270,WT,,,,,,,20231107,Scn2aX1,,B8270,F,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair7,introduction,20221129,Nov22_Pair7_Intro.mov,\Scn2a_X1Behavior_Nov22\Female Intros\11292022,Nov22_Pair7_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8018,Het,,,,,,,20221129,Scn2aX1,,B8018,F,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair8,introduction,20221129,Nov22_Pair8_Intro_WIN_20221129_13_12_28_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\11292022,Nov22_Pair8_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8019,WT,,,,,,,20221129,Scn2aX1,,B8019,F,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[160, 146, 95], [96, 87, 57]]",,,,
