PairTag,AssayType,RecDate,RecTime,VideoFile,VideoPath,ScoreFile,ScorePath,FemaleID,FemaleGT,FemaleFam,FemaleDOB,MaleID,MaleGT,MaleFam,MaleDOB,PairDate,CohortTag,AssayStart,FocalID,FocalSex,FocalGT,AssayDuration,AssayRoom,Timeline,Ethogram,RanBy,ScoredBy,FullTimeline,FocalColor,LeftID,LeftGT,LeftSex,LeftDOB,LeftType,RightID,RightGT,RightSex,RightDOB,RightType,StrangerID,PPTlane,PartnerChamber,CameraType,FocalGTConfirmed,Pregnant
Nov22_Pair33,PPT,20230213,13:35,Nov22_Pair33_PPT_2023-02-13 13-35-56.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\02132023,Nov22_Pair33_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8074,Het,,,20230208,Scn2aX1,,B8074,M,Het,10800,,,,Gina Williams,Gina Williams,True,"[[63, 78, 245], [33, 41, 131]]",,WT,F,,Stranger,,WT,F,,Partner,,2,Right,,,
Nov22_Pair34,PPT,20230213,13:35,Nov22_Pair34_PPT_(poststart)2023-02-13 13-35-39.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\02132023,Nov22_Pair34_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8076,Het,,,20230208,Scn2aX1,,B8076,M,Het,10800,,,,Gina Williams,Gina Williams,True,"[[63, 78, 245], [33, 41, 131]]",,WT,F,,Partner,,WT,F,,Stranger,,3,Left,,,
Nov22_Pair35,PPT,20230303,13:12,Nov22_Pair35_PPT_2023-03-03 13-11-48.mp4,\Scn2a_X1Behavior_Nov22\Female PPTs\03032023,Nov22_Pair35_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8105,WT,,,,,,,20230228,Scn2aX1,,B8105,F,WT,10800,,,,Gina Williams,Gina Williams,False,"[[160, 146, 95], [96, 87, 57]]",,WT,M,,Stranger,,WT,M,,Partner,,1,Right,,,
Nov22_Pair36,PPT,20230303,13:12,Nov22_Pair36_PPT_2023-03-03 13-11-46.mp4,\Scn2a_X1Behavior_Nov22\Female PPTs\03032023,Nov22_Pair36_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8106,Het,,,,,,,20230228,Scn2aX1,,B8106,F,Het,10800,,,,Gina Williams,Gina Williams,False,"[[245, 201, 39], [147, 120, 23]]",,WT,M,,Partner,,WT,M,,Stranger,,2,Left,,,
Nov22_Pair37,PPT,20230306,13:39,Nov22_Pair37_PPT_2023-03-06 13-37-58.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\03062023,Nov22_Pair37_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8103,Het,,,20230301,Scn2aX1,,B8103,M,Het,10800,,,,Gina Williams,Gina Williams,True,"[[63, 78, 245], [33, 41, 131]]",,WT,F,,Stranger,,WT,F,,Partner,,1,Right,,,
Nov22_Pair38,PPT,20230306,13:39,Nov22_Pair38_PPT_2023-03-06 13-37-57.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\03062023,Nov22_Pair38_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8104,WT,,,20230301,Scn2aX1,,B8104,M,WT,10800,,,,Gina Williams,Gina Williams,True,"[[89, 91, 125], [53, 54, 75]]",,WT,F,,Partner,,WT,F,,Stranger,,2,Left,,,
Nov22_Pair4,PPT,20221117,12:26,Nov22_Pair4_PPT.mov,\Scn2a_X1Behavior_Nov22\Female PPTs\11172022,Nov22_Pair4_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8005,WT,,,,,,,20221114,Scn2aX1,,B8005,F,WT,10800,,,,Gina Williams,Gina Williams,False,"[[160, 146, 95], [96, 87, 57]]",,WT,M,,Stranger,,WT,M,,Partner,,4,Right,,,
Nov22_Pair40,PPT,20230320,13:13,Nov22_Pair40_PPT_2023-03-20 13-12-31.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\03202023,Nov22_Pair40_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8117,WT,,,20230315,Scn2aX1,,B8117,M,WT,10800,,,,Gina Williams,Gina Williams,True,"[[89, 91, 125], [53, 54, 75]]",,WT,F,,Stranger,,WT,F,,Partner,,3,Right,,,
Nov22_Pair41,PPT,20230320,13:13,Nov22_Pair41_PPT_2023-03-20 13-12-29.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\03202023,Nov22_Pair41_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8118,WT,,,20230315,Scn2aX1,,B8118,M,WT,10800,,,,Gina Williams,Gina Williams,True,"[[89, 91, 125], [53, 54, 75]]",,WT,F,,Stranger,,WT,F,,Partner,,4,Right,,,
Nov22_Pair42,PPT,20230327,13:37,Nov22_Pair42_PPT_2023-03-27 13-36-45.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\03272023,Nov22_Pair42_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8129,Het,,,20230322,Scn2aX1,,B8129,M,Het,10800,,,,Gina Williams,Gina Williams,False,"[[63, 78, 245], [33, 41, 131]]",,WT,F,,Partner,,WT,F,,Stranger,,1,Left,,,
