,PairTag,AssayType,RecDate,VideoFile,VideoPath,ScoreFile,ScorePath,FemaleID,FemaleGT,FemaleFam,FemaleDOB,MaleID,MaleGT,MaleFam,MaleDOB,PairDate,CohortTag,AssayStart,FocalID,FocalSex,FocalGT,AssayDuration,AssayRoom,Timeline,Ethogram,RanBy,ScoredBy,FullTimeline,FocalColor,StrangerID,StrangerGT,PPTlane,PartnerChamber
39,Nov22_Pair51,introduction,4/19/2023,Nov22_Pair51_Intro_2023-04-19 12-55-25.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\04192023,Nov22_Pair51_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8168,WT,,,4/19/2023,Scn2aX1,,B8168,M,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
40,Nov22_Pair52,introduction,4/19/2023,Nov22_Pair52_Intro_2023-04-19 12-55-27.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\04192023,Nov22_Pair52_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8170,Het,,,4/19/2023,Scn2aX1,,B8170,M,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
41,Nov22_Pair56,introduction,8/8/2023,Nov22_Pair56_Intro_2023-08-08 13-13-52.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\08082023,Nov22_Pair56_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8232,WT,,,,,,,8/8/2023,Scn2aX1,,B8232,F,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
42,Nov22_Pair57,introduction,8/9/2023,Nov22_Pair57_Intro_2023-08-09 13-07-27.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\08092023,Nov22_Pair57_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8240,WT,,,8/9/2023,Scn2aX1,,B8240,M,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
43,Nov22_Pair58,introduction,8/9/2023,Nov22_Pair58_Intro_2023-08-09 13-07-28.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\08092023,Nov22_Pair58_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8241,WT,,,8/9/2023,Scn2aX1,,B8241,M,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
44,Nov22_Pair59,introduction,9/5/2023,Nov22_Pair59_Intro_2023-09-05 13-52-22.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\09052023,Nov22_Pair59_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8258,WT,,,,,,,9/5/2023,Scn2aX1,,B8258,F,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
45,Nov22_Pair6,introduction,11/29/2022,Nov22_Pair6_intro_WIN_20221129_13_09_21_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\11292022,Nov22_Pair6_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8034,Het,,,,,,,11/29/2022,Scn2aX1,,B8034,F,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
46,Nov22_Pair60,introduction,9/5/2023,Nov22_Pair60_Intro_2023-09-05 13-52-23.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\09052023,Nov22_Pair60_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8260,WT,,,,,,,9/5/2023,Scn2aX1,,B8260,F,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
47,Nov22_Pair61,introduction,11/7/2023,Nov22_Pair61_Intro_2023-11-07 13-05-43.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\11072023,Nov22_Pair61_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8267,WT,,,,,,,11/7/2023,Scn2aX1,,B8267,F,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
48,Nov22_Pair62,introduction,11/7/2023,Nov22_Pair62_Intro_2023-11-07 13-05-44.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\11072023,Nov22_Pair62_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8268,WT,,,,,,,11/7/2023,Scn2aX1,,B8268,F,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
49,Nov22_Pair63,introduction,11/7/2023,Nov22_Pair63_Intro_2023-11-07 13-05-47.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\11072023,Nov22_Pair63_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8269,WT,,,,,,,11/7/2023,Scn2aX1,,B8269,F,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
50,Nov22_Pair64,introduction,11/7/2023,Nov22_Pair64_Intro.mov,\Scn2a_X1Behavior_Nov22\Female Intros\11072023,Nov22_Pair64_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8270,WT,,,,,,,11/7/2023,Scn2aX1,,B8270,F,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
51,Nov22_Pair7,introduction,11/29/2022,Nov22_Pair7_Intro.mov,\Scn2a_X1Behavior_Nov22\Female Intros\11292022,Nov22_Pair7_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8018,Het,,,,,,,11/29/2022,Scn2aX1,,B8018,F,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
52,Nov22_Pair8,introduction,11/29/2022,Nov22_Pair8_Intro_WIN_20221129_13_12_28_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\11292022,Nov22_Pair8_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8019,WT,,,,,,,11/29/2022,Scn2aX1,,B8019,F,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
