PairTag,AssayType,RecDate,RecTime,VideoFile,VideoPath,ScoreFile,ScorePath,FemaleID,FemaleGT,FemaleFam,FemaleDOB,MaleID,MaleGT,MaleFam,MaleDOB,PairDate,CohortTag,AssayStart,FocalID,FocalSex,FocalGT,AssayDuration,AssayRoom,Timeline,Ethogram,RanBy,ScoredBy,FullTimeline,FocalColor,StrangerID,StrangerGT,PPTlane,PartnerChamber
Nov22_Pair24,aggression,20230203,14:37,Nov22_Pair24_RI_2023-02-03 13-30-57.mp4,\Scn2a_X1Behavior_Nov22\Male RI\02032023,Nov22_Pair24_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8041,Het,,,20230125,Scn2aX1,,B8041,M,Het,1200,,,,Gina Williams,Josh Steighner,True,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair25,aggression,20230203,14:37,Nov22_Pair25_RI_2023-02-03 13-32-04.mp4,\Scn2a_X1Behavior_Nov22\Male RI\02032023,Nov22_Pair25_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8042,Het,,,20230125,Scn2aX1,,B8042,M,Het,1200,,,,Gina Williams,Josh Steighner,True,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair26,aggression,20230203,14:37,Nov22_Pair26_RI_2023-02-03 13-33-20.mp4,\Scn2a_X1Behavior_Nov22\Male RI\02032023,Nov22_Pair26_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8043,Het,,,20230125,Scn2aX1,,B8043,M,Het,1200,,,,Gina Williams,Josh Steighner,True,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair27,aggression,20230203,14:37,Nov22_Pair27_RI_WIN_20230203_13_34_19_Pro.mp4,\Scn2a_X1Behavior_Nov22\Male RI\02032023,Nov22_Pair27_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8044,Het,,,20230125,Scn2aX1,,B8044,M,Het,1200,,,,Gina Williams,Josh Steighner,True,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair28,aggression,20230215,13:26,Nov22_Pair28_RI_2023-02-15 12-19-19.mp4,\Scn2a_X1Behavior_Nov22\Female RI\02152023,Nov22_Pair28_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8071,Het,,,,,,,20230207,Scn2aX1,,B8071,F,Het,1200,,,,Gina Williams,Josh Steighner,True,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair29,aggression,20230215,13:26,Nov22_Pair29_RI_2023-02-15 12-20-10.mp4,\Scn2a_X1Behavior_Nov22\Female RI\02152023,Nov22_Pair29_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8072,Het,,,,,,,20230207,Scn2aX1,,B8072,F,Het,1200,,,,Gina Williams,Josh Steighner,True,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair3,aggression,20221122,14:33,Nov22_Pair3_RI.mov,\Scn2a_X1Behavior_Nov22\Female RI\11222022,Nov22_Pair3_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8004,Het,,,,,,,20221114,Scn2aX1,,B8004,F,Het,1200,,,,Gina Williams,Josh Steighner,True,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair30,aggression,20230215,13:26,Nov22_Pair30_RI_2023-02-15 12-20-56.mp4,\Scn2a_X1Behavior_Nov22\Female RI\02152023,Nov22_Pair30_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8075,Het,,,,,,,20230207,Scn2aX1,,B8075,F,Het,1200,,,,Gina Williams,Josh Steighner,True,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair31,aggression,20230215,13:26,Nov22_Pair31_RI_WIN_20230215_12_21_57_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female RI\02152023,Nov22_Pair31_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8077,WT,,,,,,,20230207,Scn2aX1,,B8077,F,WT,1200,,,,Gina Williams,Josh Steighner,True,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair32,aggression,20230217,14:39,Nov22_Pair32_RI_2023-02-17 13-32-53.mp4,\Scn2a_X1Behavior_Nov22\Male RI\02172023,Nov22_Pair32_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8073,Het,,,20230208,Scn2aX1,,B8073,M,Het,1200,,,,Gina Williams,Josh Steighner,True,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair33,aggression,20230217,14:39,Nov22_Pair33_RI_2023-02-17 13-33-59.mp4,\Scn2a_X1Behavior_Nov22\Male RI\02172023,Nov22_Pair33_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8074,Het,,,20230208,Scn2aX1,,B8074,M,Het,1200,,,,Gina Williams,Josh Steighner,True,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair34,aggression,20230217,14:39,Nov22_Pair34_RI_2023-02-17 13-34-55.mp4,\Scn2a_X1Behavior_Nov22\Male RI\02172023,Nov22_Pair34_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8076,Het,,,20230208,Scn2aX1,,B8076,M,Het,1200,,,,Gina Williams,Josh Steighner,True,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair35,aggression,20230308,14:01,Nov22_Pair35_RI_2023-03-08 12-53-55.mp4,\Scn2a_X1Behavior_Nov22\Female RI\03082023,Nov22_Pair35_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8105,WT,,,,,,,20230228,Scn2aX1,,B8105,F,WT,1200,,,,Gina Williams,Josh Steighner,False,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair36,aggression,20230308,14:01,Nov22_Pair36_RI_2023-03-08 12-53-58.mp4,\Scn2a_X1Behavior_Nov22\Female RI\03082023,Nov22_Pair36_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8106,Het,,,,,,,20230228,Scn2aX1,,B8106,F,Het,1200,,,,Gina Williams,Josh Steighner,False,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair37,aggression,20230310,14:44,Nov22_Pair37_RI_2023-03-10 13-42-26.mp4,\Scn2a_X1Behavior_Nov22\Male RI\03102023,Nov22_Pair37_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8103,Het,,,20230301,Scn2aX1,,B8103,M,Het,1200,,,,Gina Williams,Josh Steighner,True,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair38,aggression,20230310,14:44,Nov22_Pair38_RI_2023-03-10 13-41-46.mp4,\Scn2a_X1Behavior_Nov22\Male RI\03102023,Nov22_Pair38_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8104,WT,,,20230301,Scn2aX1,,B8104,M,WT,1200,,,,Gina Williams,Josh Steighner,True,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair39,aggression,20230324,14:20,Nov22_Pair39_RI_2023-03-24 13-16-04.mp4,\Scn2a_X1Behavior_Nov22\Male RI\03242023,Nov22_Pair39_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8116,WT,,,20230315,Scn2aX1,,B8116,M,WT,1200,,,,Gina Williams,Josh Steighner,False,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair4,aggression,20221122,14:33,Nov22_Pair4_RI_WIN_20221122_13_32_02_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female RI\11222022,Nov22_Pair4_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8005,WT,,,,,,,20221114,Scn2aX1,,B8005,F,WT,1200,,,,Gina Williams,Josh Steighner,False,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair40,aggression,20230324,14:20,Nov22_Pair40_RI_2023-03-24 13-16-06.mp4,\Scn2a_X1Behavior_Nov22\Male RI\03242023,Nov22_Pair40_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8117,WT,,,20230315,Scn2aX1,,B8117,M,WT,1200,,,,Gina Williams,Josh Steighner,True,"[[89, 91, 125], [53, 54, 75]]",,,,
